Date,HIGH_T,LOW_T,PRECIP,BB_COUNT
19-Aug-17,84.9,73,0,4693
20-Aug-17,81,70,0,2822
21-Aug-17,84.9,73,0,3088
22-Aug-17,88,75,0.3,2983
23-Aug-17,80.1,71.1,0.01,2994
24-Aug-17,79,66,0,3688
25-Aug-17,78.1,64,0,3144
26-Aug-17,77,62.1,0,2710
27-Aug-17,77,63,0,2676
28-Aug-17,75,63,0,3332
29-Aug-17,68,62.1,0.1,1472
30-Aug-17,75.9,61,0.01,3468
31-Aug-17,81,64,0,3279
1-Sep-17,70,55,0,2945
2-Sep-17,66.9,54,0.53,1876
3-Sep-17,69.1,60.1,0.74,1004
4-Sep-17,79,62.1,0,2866
5-Sep-17,84,70,0.01,3244
6-Sep-17,70,62.1,0.42,1232
7-Sep-17,71.1,59,0.01,3249
8-Sep-17,70,59,0,3234
9-Sep-17,69.1,55,0,2609
10-Sep-17,72,57,0,4960
11-Sep-17,75.9,55,0,3657
12-Sep-17,78.1,61,0,3497
13-Sep-17,82,64.9,0.06,2994
14-Sep-17,81,70,0.02,3013
15-Sep-17,81,66.9,0,3344
16-Sep-17,82,70,0,2560
17-Sep-17,80.1,70,0,2676
18-Sep-17,73,69.1,0,2673
19-Sep-17,78.1,69.1,0.22,2012
20-Sep-17,78.1,71.1,0,3296
21-Sep-17,80.1,71.1,0,3317
22-Sep-17,82,66,0,3297
23-Sep-17,86,68,0,2810
24-Sep-17,90,69.1,0,2543
25-Sep-17,87.1,72,0,3276
26-Sep-17,82,69.1,0,3157
27-Sep-17,84.9,71.1,0,3216
28-Sep-17,78.1,66,0,3421
29-Sep-17,66.9,55,0,2988
30-Sep-17,64,55.9,0,1903
1-Oct-17,66.9,50,0,2297
2-Oct-17,72,52,0,3387
3-Oct-17,70,57,0,3386
4-Oct-17,75,55.9,0,3412
5-Oct-17,82,64.9,0,3312
6-Oct-17,81,69.1,0,2982
7-Oct-17,80.1,66,0,2750
8-Oct-17,77,72,0.22,1235
9-Oct-17,75.9,72,0.26,898
10-Oct-17,80.1,66,0,3922
11-Oct-17,75,64.9,0.06,2721
12-Oct-17,63,55.9,0.07,2411
13-Oct-17,64.9,52,0,2839
14-Oct-17,71.1,62.1,0.08,2021
15-Oct-17,72,66,0.01,2169
16-Oct-17,60.1,52,0.01,2751
17-Oct-17,57.9,43,0,2869
18-Oct-17,71.1,50,0,3264
19-Oct-17,70,55.9,0,3265
20-Oct-17,73,57.9,0,3169
21-Oct-17,78.1,57,0,2538
22-Oct-17,75.9,57,0,2744
23-Oct-17,73.9,64,0,3189
24-Oct-17,73,66.9,0.2,954
25-Oct-17,64.9,57.9,0,3367
26-Oct-17,57,53.1,0,2565
27-Oct-17,62.1,48,0,3150
28-Oct-17,68,55.9,0,2245
29-Oct-17,64.9,61,3.03,183
30-Oct-17,55,46,0.25,1428
31-Oct-17,54,44,0,2727
